vnr,Pname,dosf_LT,Streng,packtext,DRUGID,strnum,strunut,PACKSIZE,ATC
1172,Pirom,"kapsler, hårde",20 mg,10 stk.,28101305087,20,MG,10,M01AC01
1191,Apydan,tabletter,300 mg,100 stk.,28101866396,300,MG,100,N03AF02
1194,Celebra,"kapsler, hårde",200 mg,10 stk. (blister),28103127099,200,MG,10,M01AH01
1196,Vioxx,tabletter,25 mg,30 stk.,28103096099,25,MG,30,M01AH02
1199,"Clozapine ""Actavis""",tabletter,25 mg,100 stk. (blister),28101939997,25,MG,100,N05AH02
1206,Imdur,depottabletter (duretter),60 mg,100 stk.,28101521192,60,MG,100,C01DA14
1212,Banminth Vet.,oral pasta,"21,7 mg/g (hund/ræv)",25 tuber a 10 g,28100669272,21.7,MGG,250,QP52AF02
1213,Teveten,filmovertrukne tabletter,600 mg,28 stk. (blister),28103106799,600,MG,28,C09CA02
1217,Acepril,tabletter,5 mg,30 stk. (blister),28103023698,5,MG,30,C09AA03
1222,Fortum,infusionssubstans,1 g,5 x 1 g monovial,28101747795,1,G,5,J01DD02
1225,Zarator,filmovertrukne tabletter,80 mg,30 stk. (blister),28103295501,80,MG,30,C10AA05
1229,Banminth Vet.,oral pasta,"21,7 mg/g (hund/ræv)",1/25 af: 25 tuber a 10 g,28100669272,21.7,MGG,10,QP52AF02
1230,Nitam,tabletter,5 mg,50 stk. (blister),28101551893,5,MG,50,N05CD02
1234,Acepril,tabletter,5 mg,100 stk. (blister),28103023698,5,MG,100,C09AA03
1235,Banminth Vet.,oral pasta,"21,7 mg/g (hund/ræv)",25 sprøjter a 16 g,28100669272,21.7,MGG,400,QP52AF02
1239,Zarator,filmovertrukne tabletter,80 mg,100 stk. (blister),28103295501,80,MG,100,C10AA05
1240,Acepril,tabletter,10 mg,30 stk. (blister),28103023798,10,MG,30,C09AA03
1246,Banminth Vet.,oral pasta,"21,7 mg/g (hund/ræv)",1/25 af: 25 sprøjter a 16 g,28100669272,21.7,MGG,16,QP52AF02
1256,Acepril,tabletter,10 mg,100 stk. (blister),28103023798,10,MG,100,C09AA03
1257,Banminth Vet.,oral pasta,"21,7 mg/g (hund/ræv)",25 tuber a 24 g,28100669272,21.7,MGG,600,QP52AF02
1263,Rigidur Duo,"pulver og solvens til injektionsvæske, opløsning",10 mikrogram,2 stk.,28101912297,10,RG,2,G04BE01
1267,Acepril,tabletter,20 mg,30 stk. (blister),28103023898,20,MG,30,C09AA03
1268,Banminth Vet.,oral pasta,"21,7 mg/g (hund/ræv)",1/25 af: 25 tuber a 24 g,28100669272,21.7,MGG,24,QP52AF02
1271,Rigidur Duo,"pulver og solvens til injektionsvæske, opløsning",20 mikrogram,2 stk.,28101912397,20,RG,2,G04BE01
1273,Acepril,tabletter,20 mg,100 stk. (blister),28103023898,20,MG,100,C09AA03
1279,Banminth Vet.,oral pasta,"115,3 mg/g (kat)",25 sprøjter a 2 g,28101140883,115.3,MGG,50,QP52AF02
1289,Fortum,infusionssubstans,2 g,5 x 2 g (monovial),28101747895,2,G,5,J01DD02
1290,Banminth Vet.,oral pasta,"115,3 mg/g (kat)",1/25 af: 25 sprøjter a 2 g,28101140883,115.3,MGG,2,QP52AF02
1295,Lasix,tabletter,40 mg,100 stk. (blister),28100439863,40,MG,100,C03CA01
1296,Niferex,"enterokapsler, hårde",100 mg,50 stk. (blister),28103322401,100,MG,50,B03AA01
1301,Banminth Vet.,oral pasta,"115,3 mg/g (kat)",25 sprøjter a 3 g,28101140883,115.3,MGG,75,QP52AF02
1304,Apydan,tabletter,600 mg,100 stk.,28101866496,600,MG,100,N03AF02
1312,Banminth Vet.,oral pasta,"115,3 mg/g (kat)",1/25 af: 25 sprøjter a 3 g,28101140883,115.3,MGG,3,QP52AF02
1314,Avirox,creme,50 mg/g,3 g,28103138700,50,MGG,3,D06BB03
1316,Imozop,filmovertrukne tabletter,"3,75 mg",10 stk. (blister),28103040998,3.75,MG,10,N05CF01
1317,Xenetix,"injektionsvæske, opløsning",300 mg iod/ml,2 x 25 x 50 ml,28101834296,300,MJM,2500,V08AB11
1318,Vioxx,tabletter,25 mg,100 stk.,28103096099,25,MG,100,M01AH02
1321,Uniderm,creme,1%,20 g,28101024979,1,PC,20,D07AA02
1324,Teveten,filmovertrukne tabletter,600 mg,98 stk. (blister),28103106799,600,MG,98,C09CA02
1326,Avirox,creme,50 mg/g,12 g,28103138700,50,MGG,12,D06BB03
1329,Vioxx,tabletter,"12,5 mg",30 stk.,28103095999,12.5,MG,30,M01AH02
1331,Xenetix,"injektionsvæske, opløsning",300 mg iod/ml,1/50 af: 2 x 25 x 50 ml,28101834296,300,MJM,50,V08AB11
1337,Gadovist,"injektionsvæske, opløsning",1 mmol/ml,10 x 30 ml,28103144900,1,MOM,300,V08CA09
1338,Precosa,"kapsler, hårde",250 mg,50 stk.,28101695894,250,MG,50,A07FA02
1339,Uniderm,creme,1%,50 g,28101024979,1,PC,50,D07AA02
1340,Vioxx,tabletter,"12,5 mg",100 stk.,28103095999,12.5,MG,100,M01AH02
1342,Xenetix,"injektionsvæske, opløsning",300 mg iod/ml,2 x 10 x 100 ml,28101834296,300,MJM,2000,V08AB11
1344,Imozop,filmovertrukne tabletter,"3,75 mg",30 stk. (blister),28103040998,3.75,MG,30,N05CF01
1346,Teveten,filmovertrukne tabletter,400 mg,56 stk. (blister),28101888797,400,MG,56,C09CA02
1347,Uniderm,creme,1%,100 g,28101024979,1,PC,100,D07AA02
1350,Imozop,filmovertrukne tabletter,"3,75 mg",100 stk. (blister),28103040998,3.75,MG,100,N05CF01
1351,Xenetix,"injektionsvæske, opløsning",300 mg iod/ml,1/2 af: 2 x 10 x 100 ml,28101834296,300,MJM,1000,V08AB11
1354,Uniderm,salve,1%,20 g,28101025079,1,PC,20,D07AA02
1362,Spersadex Comp.,"øjendråber, opløsning",1+5 mg/ml,5 ml,28103736904,,,5,S01CA01
1388,Baycaron,tabletter,25 mg (Paranova),150 stk.,28101559693,25,MG,150,C03BA05
1394,Nexium,enterotabletter,20 mg,14 stk. (blister),28103148900,20,MG,14,A02BC05
1399,Orgalutran,"injektionsvæske, opløsning","0,25 mg/0,5 ml",5 stk.,28103039498,0.5,MGM,5,H01CC01
1408,Nexium,enterotabletter,20 mg,28 stk. (blister),28103148900,20,MG,28,A02BC05
1412,Penetrase,injektionssubstans,1.000 I.E.,5 htgl. + solvens,28100074455,1000,IU,5,B06AA03
1417,Nexium,enterotabletter,20 mg,56 stk. (blister),28103148900,20,MG,56,A02BC05
1420,Nitam,tabletter,5 mg,100 stk. (blister),28101551893,5,MG,100,N05CD02
1446,Uniderm,salve,1%,50 g,28101025079,1,PC,50,D07AA02
1450,Nexium,enterotabletter,40 mg,14 stk. (blister),28103149000,40,MG,14,A02BC05
1452,Metocar,tabletter,50 mg,30 stk. (blister),28101535292,50,MG,30,C07AB02
1453,Alapren,injektionsvæske,1 mg/ml,10 x 5 ml,28101233985,1,MGM,50,C09AA02
1456,Ripercol Pour-on Vet.,"pour-on, opløsning",200 mg/ml,2200 ml,28101314087,200,MGM,2200,QP52AE02
1462,Brentan,creme,2%,30 g,28103135899,2,PC,30,D01AC02
1463,Nexium,enterotabletter,40 mg,28 stk. (blister),28103149000,40,MG,28,A02BC05
1464,Cosopt,øjendråber,5 + 20 mg/ml,5 ml,,,,,S01ED51
1467,Decaris Pour-on Vet.,"pour-on, opløsning",200 mg/ml,2200 ml,28101268386,200,MGM,2200,QP52AE01
1473,Compleven,"infusionsvæske, emulsion",,2500 ml (tre-kammer poser),28103088999,,,2500,B05BA10
1474,Miniderm,creme,20 %,500 g,28103882805,20,PC,500,D02AX
1488,Miniderm,creme,20 %,100 g,28103882805,20,PC,100,D02AX
1490,NovoMix 30 Penfill,"injektionsvæske, suspension",100 E/ml,5 x 3 ml,28103061999,100,UML,15,A10AD05
1503,Zinacef,"pulver til infusionsvæske, opløsning",750 mg,5 x 750 mg monovial,28101705394,750,MG,5,J01DC02
1505,Nexium,enterotabletter,40 mg,56 stk. (blister),28103149000,40,MG,56,A02BC05
1511,Serenase Dekanoat,"injektionsvæske, opløsning",100 mg/ml,5 amp. a 1 ml,28101092381,100,MGM,5,N05AD01
1512,Trental,depottabletter,400 mg,100 stk. (blister),28103168300,400,MG,100,C04AD03
1513,Biocom-P Vet.,"injektionsvæske, suspension",,250 doser (250 ml),28101856196,,,250,QI20CL01
1527,Nexium,enterotabletter,20 mg,100 stk.,28103148900,20,MG,100,A02BC05
1537,Flucat Vet.,injektionssubstans + injektionsvæske (vaccine),,1 dosis,28101039780,,,1,QJ57BA02
1545,Zomig,filmovertrukne tabletter,"2,5 mg",3 stk. (blister),28103115499,2.5,MG,3,N02CC03
1549,Nexium,enterotabletter,40 mg,100 stk.,28103149000,40,MG,100,A02BC05
1552,Acinil,tyggetabletter,200 MG,12 stk.,28101383689,200,MG,12,A02BA01
1560,Clamoxyl Vet.,pulver til oral opløsning,51 %,4 x 4 x 1000 g,28101502792,51,PC,16000,QJ01CA04
1588,Kabiven,"infusionsvæske, emulsion",,4 x 1026 ml (4 x 900 kcal),28103088399,,,4104,B05BA10
1592,Almogran,filmovertrukne tabletter,"12,5 mg",3 stk. (blister),28103149300,12.5,MG,3,N02CC05
1593,Terramycin Vet.,"uteritorier, tabletter",500 mg,1/10 af: 10 x 1 stk.,28100532167,500,MG,1,QG01AA07
1595,Vasotop Vet.,tabletter,"1,25 mg",2 x 14 stk. (blister),28103077099,1.25,MG,28,QC09AA05
1599,Venofer,"injektionsvæske/konc. til infusionsvæske, opløsning",20 mg/ml,5 x 5 ml,28103111199,20,MGM,25,B03AC02
1602,Zinacef,"pulver til infusionsvæske, opløsning","1,5 g","5 x 1,5 g monovial",28101053180,1.5,G,5,J01DC02
1605,Kabiven,"infusionsvæske, emulsion",,4 x 1540 ml (4 x 1400 kcal),28103088399,,,6160,B05BA10
1606,Almogran,filmovertrukne tabletter,"12,5 mg",6 stk. (blister),28103149300,12.5,MG,6,N02CC05
1609,Vasotop Vet.,tabletter,"2,5 mg",2 x 14 stk. (blister),28103077199,2.5,MG,28,QC09AA05
1610,Pronoctan,tabletter,1 mg,1000 stk. (10x100) i glas,28101032579,1,MG,1000,N05CD06
1611,Kabiven,"infusionsvæske, emulsion",,2 x 2053 ml (2 x 1900 kcal),28103088399,,,4106,B05BA10
1620,Vasotop Vet.,tabletter,5 mg,2 x 14 stk. (blister),28103077299,5,MG,28,QC09AA05
1622,Kabiven,"infusionsvæske, emulsion",,2 x 2566 ml (2 x 2300 kcal),28103088399,,,5132,B05BA10
1623,"Klorhexidin ""Galderma""",opløsning til desinfektion,"0,2%",250 ml,28100826479,0.2,PC,250,D08AC02
1628,Temgesic,"resoribletter, sublinguale","0,4 mg",50 stk.,28101362889,0.4,MG,50,N02AE01
1631,Vasotop Vet.,tabletter,"1,25 mg",10 x 14 stk. (blister),28103077099,1.25,MG,140,QC09AA05
1636,Fortum,"pulver til injektionsvæske, opløsning",1 g,5 x 1 g monovial,28101144883,1,G,5,J01DD02
1640,Vasotop Vet.,tabletter,"2,5 mg",10 x 14 stk. (blister),28103077199,2.5,MG,140,QC09AA05
1651,Fortum,"pulver til injektionsvæske, opløsning",2 g,5 x 2 g monovial,28101144983,2,G,5,J01DD02
1653,Vasotop Vet.,tabletter,5 mg,10 x 14 stk. (blister),28103077299,5,MG,140,QC09AA05
1682,Pankreon Forte,"enterokapsler, hårde",,100 stk. (blister),28103141800,,,100,A09AA02
1684,Metocar,tabletter,50 mg,100 stk. (blister),28101535292,50,MG,100,C07AB02
1693,Albuminativ,"infusionsvæske, opløsning",200 mg/ml,100 ml,28103572203,200,MGM,100,B05AA01
1695,Metocar,tabletter,100 mg,30 stk. (blister),28101535392,100,MG,30,C07AB02
1696,Paracox-5 Vet.,koncentrat til oral suspension til anvendelse i foder,,5 x 1000 doser,28103124999,,,5000,QI01AN01
1706,Metocar,tabletter,100 mg,100 stk. (blister),28101535392,100,MG,100,C07AB02
1715,Totelle Sekvens,overtrukne tabletter,,3 x 28 stk. (blister),28103189500,,,84,G03FB11
1737,Seroxat,filmovertrukne tabletter,20 mg,24 stk. (blister),28101814496,20,MG,24,N06AB05
1743,Tylan Vet.,"injektionsvæske, opløsning",200 mg/ml,4 x 10 htgl. a 100 ml,28100438963,200,MGM,4000,QJ01FA90
1747,Livostin,"øjendråber, suspension","0,5 mg/ml",3 ml,28101894297,0.5,MGM,3,S01GX02
1755,Rilexine Vet.,intramammær suspension,20 mg/ml,12 x 10 ml,28101905497,20,MGM,120,QJ51DB01
1762,Paracox-5 Vet.,koncentrat til oral suspension til anvendelse i foder,,5 x 5000 doser,28103124999,,,25000,QI01AN01
1784,Pronoctan,tabletter,"0,5 mg",1000 stk. (10x100),28101032479,0.5,MG,1000,N05CD06
1786,Xalatan,"øjendråber, opløsning",50 mikg/ml,"2,5 ml",28103139800,50,RGM,2.5,S01EE01
1788,Mycostatin,oral suspension,100.000 IE/ml,100 ml,28101740094,100000,IUM,100,A07AA02
1789,Xatral,depottabletter,5 mg,56 stk. (blister),28103053698,5,MG,56,G04CA01
1791,Rivotril,tabletter,2 mg,100 stk. (blister),28101733894,2,MG,100,N03AE01
1797,"Flutamid ""Orifarm""",tabletter,250 mg,84 stk. (blister),28103140000,250,MG,84,L02BB01
1799,"Gabapentin ""Orifarm""","kapsler, hårde",400 mg,100 stk. (blister),28103140100,400,MG,100,N03AX12
1813,"balance 1,5% glucose, 1,75 mmol/l calcium","peritonealdialysevæske, to-kammer system",,4 x 2000 ml stay safe balance,28103049998,,,8000,B05DB
1814,Plendil,depottabletter,5 mg,90 stk. (blister),28101736494,5,MG,90,C08CA02
1815,Diclodan,suppositorier,50 mg,10 stk. (blister),28101567393,50,MG,10,M01AB05
1817,Virbalan Vet.,oral pasta,"18,7 mg/g","1 x 7,49 g (applikatorer)",28103028198,18.7,MGG,7.49,QP54AA01
1825,Buspar,tabletter,10 mg,20 stk. (blister),28103121599,10,MG,20,N05BE01
1827,Androcur,tabletter,50 mg,45 stk. (blister),28103093199,50,MG,45,G03HA01
1830,Insulatard InnoLet,"injektionsvæske, suspension",100 IE/ml,5 x 3 ml,28103111499,100,IUM,15,A10AC01
1832,Mixtard 30/70 InnoLet,"injektionsvæske, suspension",100 IE/ml,5 x 3 ml,28103111799,100,IUM,15,A10AD01
1843,Kezoral,shampoo,2% (20 mg/g),60 ml,28103142600,2,PC,60,D01AC08
1853,Triatec,tabletter,5 mg,100 stk. (blister),28101814196,5,MG,100,C09AA05
1859,"Humant Normalt Immunglobulin ""SSI""","injektionsvæske, opløsning",160 mg/ml,5 x 5 ml,28100836380,160,MGM,25,J06BA01
1869,Rilexine Vet.,intramammær suspension,20 mg/ml,150 x 10 ml,28101905497,20,MGM,1500,QJ51DB01
1872,Ingelvac DART Vet.,"injektionsvæske, suspension",,1 x 20 ml,28101865596,,,20,QI09AB04
1874,Methergin,"injektionsvæske, opløsning","0,2 mg/ml",10 amp. a 1 ml,28101002855,0.2,MGM,10,G02AB01
1878,Azopt,"øjendråber, suspension",10 mg/ml,3 x 5 ml,28103026698,10,MGM,15,S01EC04
1883,"Humant Normalt Immunglobulin ""SSI""","injektionsvæske, opløsning",160 mg/ml,2 ml,28100836380,160,MGM,2,J06BA01
1895,Voluven,"infusionsvæske, opløsning",60 mg/ml,15 x 500 ml,28103134200,60,MGM,7500,B05AA07
1902,"balance 2,3% glucose, 1,75 mmol/l calcium","peritonealdialysevæske, to-kammer system",,4 x 2000 ml stay safe balance,28103050098,,,8000,B05DB
1905,Lamictal,dispergible tabletter,2 mg,30 stk.,28103146400,2,MG,30,N03AX09
1906,Voluven,"infusionsvæske, opløsning",60 mg/ml,15 x 500 ml,28103134200,60,MGM,7500,B05AA07
1908,Xalatan,"øjendråber, opløsning",50 mikg/ml,"3 x 2,5 ml",28103139800,50,RGM,7.5,S01EE01
1913,"balance 4,25% glucose, 1,75 mmol/l calcium","peritonealdialysevæske, to-kammer system",,4 x 2000 ml stay safe balance,28103050198,,,8000,B05DB
1914,Artrotec,tabletter,"50 + 0,2 mg",20 stk. (blister),28103144800,,,20,M01AB55
1916,NuTRIflex Lipid peri,"infusionsvæske, emulsion",,5 x 1250 ml,28103091299,,,6250,B05BA10
1917,Rocilin,kapsler,800.000 I.E.,15 stk.,28100901576,800000,IU,15,J01CE02
1918,NuTRIflex Lipid plus,"infusionsvæske, emulsion",,5 x 1250 ml,28103091399,,,6250,B05BA10
1920,NuTRIflex Lipid special,"infusionsvæske, emulsion",,5 x 1250 ml,28103091499,,,6250,B05BA10
1925,Rocilin,kapsler,800.000 I.E.,20 stk.,28100901576,800000,IU,20,J01CE02
1926,Diclodan,suppositorier,50 mg,50 stk. (blister),28101567393,50,MG,50,M01AB05
1933,Rocilin,kapsler,800.000 I.E.,30 stk.,28100901576,800000,IU,30,J01CE02
1937,Diclodan,suppositorier,100 mg,5 stk. (blister),28101567493,100,MG,5,M01AB05
1938,"Aciclovir ""Ranbaxy""",tabletter,200 mg,100 stk. (blister),28103056698,200,MG,100,J05AB01
1949,Reminyl,filmovertrukne tabletter,4 mg,14 stk. (blister),28103152700,4,MG,14,N06DA04
1950,Diclodan,suppositorier,100 mg,10 stk. (blister),28101567493,100,MG,10,M01AB05
1959,Diclodan,suppositorier,100 mg,50 stk. (blister),28101567493,100,MG,50,M01AB05
1970,Diclodan,enterotabletter,50 mg,20 stk. (blister),28101567293,50,MG,20,M01AB05
1972,Nicotinell,depotplastre,21 mg/24 timer,21 stk.,28103140300,21,MGH,21,N07BA01
1974,Selexid,tabletter,200 mg,100 stk.,28100913176,200,MG,100,J01CA08
1981,Diclodan,enterotabletter,50 mg,30 stk. (blister),28101567293,50,MG,30,M01AB05
1982,Selexid,tabletter,200 mg,1000 stk. (10x100),28100913176,200,MG,1000,J01CA08
1992,Diclodan,enterotabletter,50 mg,100 stk. (blister),28101567293,50,MG,100,M01AB05
1994,Carepen Vet.,intramammær suspension,600 mg,5 x 10 g,28103593003,600,MG,50,QJ51CE09
1999,Reminyl,filmovertrukne tabletter,8 mg,56 stk. (blister),28103152800,8,MG,56,N06DA04
2003,Diclodan,enterotabletter,25 mg,30 stk. (blister),28101567193,25,MG,30,M01AB05
2004,Dilcor Uno,depotkapsler,300 mg,60 stk. (blister),28101446091,300,MG,60,C08DB01
2006,"Humant Normalt Immunglobulin ""SSI""","injektionsvæske, opløsning",160 mg/ml,3 ml,28100836380,160,MGM,3,J06BA01
2010,Reminyl,filmovertrukne tabletter,12 mg,56 stk. (blister),28103152900,12,MG,56,N06DA04
2012,Gynatrol,tabletter,,3 x 21 stk. (blister),28103134899,,,63,G03AA07
2014,Becloforte,inhalationsaerosol,250 mikg/dosis,80 doser m. volumatic,28101131783,250,RGD,80,R03BA01
2016,Diclodan,enterotabletter,25 mg,100 stk. (blister),28101567193,25,MG,100,M01AB05
2019,"Midazolam ""Hameln""","injektionsvæske, opløsning",5 mg/ml,5 x 10 ml,28103110799,5,MGM,50,N05CD08
2030,"Humant Normalt Immunglobulin ""SSI""","injektionsvæske, opløsning",160 mg/ml,5 x 3 ml,28100836380,160,MGM,15,J06BA01
2035,Buspar,tabletter,10 mg,100 stk. (blister),28103121599,10,MG,100,N05BE01
2058,Artrotec,tabletter,"50 + 0,2 mg",100 stk. (blister),28103144800,,,100,M01AB55
2064,Kezoral,shampoo,2% (20 mg/g),120 ml,28103142600,2,PC,120,D01AC08
2071,Asacol,enterotabletter,400 mg,100 stk.,28101301487,400,MG,100,A07EC02
2073,NuTRIflex Lipid peri,"infusionsvæske, emulsion",,5 x 1875 ml,28103091299,,,9375,B05BA10
2082,NuTRIflex Lipid peri,"infusionsvæske, emulsion",,5 x 2500 ml,28103091299,,,12500,B05BA10
2085,"Midazolam ""Hameln""","injektionsvæske, opløsning",5 mg/ml,10 x 1 ml,28103110799,5,MGM,10,N05CD08
2095,NuTRIflex Lipid plus,"infusionsvæske, emulsion",,5 x 1875 ml,28103091399,,,9375,B05BA10
2097,"Humant Normalt Immunglobulin ""SSI""","injektionsvæske, opløsning",160 mg/ml,5 ml,28100836380,160,MGM,5,J06BA01
2105,Cisordinol Depot,"injektionsvæske, opløsning",200 mg/ml,1 htgl. a 10 ml,28100673375,200,MGM,10,N05AF05
2106,NuTRIflex Lipid plus,"infusionsvæske, emulsion",,5 x 2500 ml,28103091399,,,12500,B05BA10
2119,NuTRIflex Lipid special,"infusionsvæske, emulsion",,5 x 1875 ml,28103091499,,,9375,B05BA10
2124,"Midazolam ""Hameln""","injektionsvæske, opløsning",5 mg/ml,5 x 3 ml,28103110799,5,MGM,15,N05CD08
2127,Incurin,tabletter,1 mg,30 stk.,28103035398,1,MG,30,QG03CA03
2130,NuTRIflex Lipid special,"infusionsvæske, emulsion",,5 x 2500 ml,28103091499,,,12500,B05BA10
2140,Viscotears,"øjengel, enkeltdosisbeholder",2 mg/g,"30 x 0,6 mg",28103206300,2,MGG,18,S01XA20
2141,Rilexine Vet.,intramammær suspension,20 mg/ml,1/12 af: 12 x 10 ml,28101905497,20,MGM,10,QJ51DB01
2144,Demolox,tabletter,100 mg,80 stk. (blister),28103044398,100,MG,80,N06AA17
2145,Dicural,overtrukne tabletter,100 mg,10 stk. (blister),28101851196,100,MG,10,QJ01MA94
2149,Acivir,creme,50 mg/g,5 g,28103030998,50,MGG,5,D06BB03
2153,Rilexine Vet.,intramammarier,20 mg/ml,10 ml,,,,,QJ51DA01
2162,Aureomycin,salve,,Tube a 30 g,28101009555,,,30,D06AA02
2164,Rilexine Vet.,intramammær suspension,20 mg/ml,1/150 af: 150 x 10 ml,28101905497,20,MGM,10,QJ51DB01
2169,Kabiven Perifer,"infusionsvæske, emulsion",,2 x 2400 ml (2 x 1700 kcal),28103149400,,,4800,B05BA10
2175,Rilexine Vet.,intramammarier,20 mg/ml,10 ml,,,,,QJ51DA01
2182,"Kogenate ""Bayer""","pulver og solvens til injektionsvæske, opløsning",500 IE,1 htgl.,28103067499,500,IU,1,B02BD02
2185,IsoFlo Vet.,væske til inhalationsdamp,,250 ml,28101863996,,,250,QN01AB06
2186,Kabiven Perifer,"infusionsvæske, emulsion",,2 x 1920 ml (2 x 1400 kcal),28103149400,,,3840,B05BA10
2193,Zidoval,vaginalgel,"7,5 mg/ml",40 g,28103146600,7.5,MGM,40,G01AF01
2194,Kabiven Perifer,"infusionsvæske, emulsion",,4 x 1440 ml (4 x 1000 kcal),28103149400,,,5760,B05BA10
2199,Actrapid Pumpe,"injektions-/infusionsvæske, opløsning",100 IU/ml,1 x 10 ml,28103088599,100,IUM,10,A10AB01
2208,Novorapid,"injektionsvæske, opløsning",100 E/ml,10 ml,28103036498,100,UML,10,A10AB05
2210,"Kogenate ""Bayer""","pulver og solvens til injektionsvæske, opløsning",1000 IE,1 htgl.,28103067599,1000,IU,1,B02BD02
2211,Dicural,overtrukne tabletter,15 mg,10 stk. (blister),28101850996,15,MG,10,QJ01MA94
2215,Deroxat,filmovertrukne tabletter,20 mg,28 stk. (blister),28101754995,20,MG,28,N06AB05
2226,Losec,"pulver til infusionsvæske, opløsning",40 mg,5 htgl.,28103139599,40,MG,5,A02BC01
2227,"Kogenate ""Bayer""","pulver og solvens til injektionsvæske, opløsning",250 IE,1 htgl.,28103055799,250,IU,1,B02BD02
2230,Noriday,tabletter,"0,35 mg",3 x 28 stk. (blister),28103145300,0.35,MG,84,G03AC01
2237,Daivonex,salve,50 mikrogram/g,60 g,28101399190,50,RGG,60,D05AX02
2240,Deroxat,filmovertrukne tabletter,20 mg,56 stk. (blister),28101754995,20,MG,56,N06AB05
2244,Dicural,overtrukne tabletter,50 mg,10 stk. (blister),28101851096,50,MG,10,QJ01MA94
2245,"Midazolam ""Hameln""","injektionsvæske, opløsning",1 mg/ml,10 x 5 ml,28103110599,1,MGM,50,N05CD08
2250,Furix,tabletter,250 mg,100 stk.,28103146500,250,MG,100,C03CA01
2254,Deroxat,filmovertrukne tabletter,20 mg,98 stk. (blister),28101754995,20,MG,98,N06AB05
2262,Daivonex,salve,50 mikrogram/g,240 g,28101399190,50,RGG,240,D05AX02
2263,Daivonex,salve,50 mikrogram/g,120 g,28101399190,50,RGG,120,D05AX02
2265,Daivonex,creme,50 mikg/g,120 g,28101533892,50,RGG,120,D05AX02
2271,Furix,tabletter,250 mg,200 stk.,28103146500,250,MG,200,C03CA01
2272,"Sulfametizol ""Actavis""",øjendråber,4%,5 ml,28100750676,4,PC,5,S01AB01
2276,Daivonex,creme,50 mikg/g,60 g,28101533892,50,RGG,60,D05AX02
2284,"Sulfametizol ""Actavis""",tabletter,500 mg,12 stk.,28100750576,500,MG,12,J01EB02
2294,Singulair,tyggetabletter,4 mg,28 stk. (blister),28103176100,4,MG,28,R03DC03
2306,"Sulfametizol ""Actavis""",tabletter,500 mg,50 stk.,28100750576,500,MG,50,J01EB02
2309,"Sulfametizol ""Actavis""",tabletter,500 mg,24 stk.,28100750576,500,MG,24,J01EB02
2312,Lamisil,gel,10 mg/g,15 g,28103123799,10,MGG,15,D01AE15
2316,Risperdal,oral opløsning,1 mg/ml,30 ml,28101757095,1,MGM,30,N05AX08
2320,Malarone,filmovertrukne tabletter,"25+62,5 mg",12 stk. (blister),28103357602,,,12,P01BB51
2325,Accutin,"kapsler, bløde",10 mg,50 stk. (blister),28103153100,10,MG,50,D10BA01
2328,Singulair,tyggetabletter,4 mg,98 stk. (blister),28103176100,4,MG,98,R03DC03
2331,Izatax,"kapsler, hårde",150 mg,14 stk. (blister),28103120499,150,MG,14,A02BA04
2332,Porcilis Ery Parvo Vet.,"injektionsvæske, suspension",,1 x 50 ml,28101940497,,,50,QI09AL01
2342,Helixate NexGen,"pulver og solvens til injektionsvæske, opløsning",1000 IE,1 x 1000 IE,28103068299,1000,IU,1000,B02BD02
