vnr,Pname,Product name (EN),dosf_LT,Streng,packtext,DRUGID,strnum,strunut,PACKSIZE
915,"Pravastatin ""Cross Pharma""","Pravastatin ""Cross Pharma""",tabletter,20 mg,28 stk. (blister),28103045998,"20,000",MG,"28,000"
916,"Ramipril ""Cross Pharma""","Ramipril ""Cross Pharma""",tabletter,"2,5 mg",98 stk. (blister),28103036098,"2,500",MG,"98,000"
919,Pylorid,Pylorid,filmovertrukne tabletter,400 mg,28 stk. (blister),28101763295,"400,000",MG,"28,000"
920,"Valproinsyre ""Cross Pharma"" Retard","Valproic acid ""Cross Pharma"" Retard",depottabletter,500 mg,100 stk. (blister),28103030098,"500,000",MG,"100,000"
921,"Enalapril ""Mylan""","Enalapril ""Mylan""",tabletter,5 mg,28 stk. (blister),28103119099,"5,000",MG,"28,000"
922,Fem-Mono Retard,Five-Mono Retard,depottabletter,60 mg,30 stk. (blister),28103067699,"60,000",MG,"30,000"
933,"Enalapril ""Mylan""","Enalapril ""Mylan""",tabletter,5 mg,98 stk. (blister),28103119099,"5,000",MG,"98,000"
934,"Simvastatin ""Cross Pharma""","Simvastatin ""Cross Pharma""",filmovertrukne tabletter,10 mg,84 stk. (blister),28101869097,"10,000",MG,"84,000"
937,"Amiodaron ""Cross Pharma""","Amiodarone ""Cross Pharma""",tabletter,200 mg,30 stk. (3 x 10) (blister),28103039198,"200,000",MG,"30,000"
940,"Pravastatin ""Cross Pharma""","Pravastatin ""Cross Pharma""",tabletter,20 mg,98 stk. (blister),28103045998,"20,000",MG,"98,000"
944,"Enalapril ""Mylan""","Enalapril ""Mylan""",tabletter,10 mg,28 stk. (blister),28103119199,"10,000",MG,"28,000"
946,"Amiodaron ""Cross Pharma""","Amiodarone ""Cross Pharma""",tabletter,200 mg,60 stk. (6 x 10) (blister),28103039198,"200,000",MG,"60,000"
949,"Ramipril ""Cross Pharma""","Ramipril ""Cross Pharma""",tabletter,5 mg,98 stk. (blister),28103036198,"5,000",MG,"98,000"
955,"Enalapril ""Mylan""","Enalapril ""Mylan""",tabletter,10 mg,98 stk. (blister),28103119199,"10,000",MG,"98,000"
957,Genotropin,Genotropin,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning",5 mg,1 tokammerampul,28103108599,"5,000",MG,"1,000"
966,"Enalapril ""Mylan""","Enalapril ""Mylan""",tabletter,20 mg,28 stk. (blister),28103119299,"20,000",MG,"28,000"
967,"Simvastatin ""Cross Pharma""","Simvastatin ""Cross Pharma""",filmovertrukne tabletter,20 mg,28 stk. (blister),28101869197,"20,000",MG,"28,000"
971,diTeBooster,diTeBooster,"injektionsvÃ¦ske, suspension, hÃ¦tteglas",,"1 htgl. a 0,5 ml",28101482791,,,0.500
974,Nicorette,Nicorette,inhalator,10 mg,42 stk. (blister),28103125999,"10,000",MG,"42,000"
976,Sirdalud,Sirdalud,tabletter,2 mg,30 stk.,28101124183,"2,000",MG,"30,000"
977,"Enalapril ""Mylan""","Enalapril ""Mylan""",tabletter,20 mg,98 stk. (blister),28103119299,"20,000",MG,"98,000"
983,Risperdal,Risperdal,oral oplÃ¸sning,1 mg/ml,100 ml,28104562309,"1,000",MGM,"100,000"
989,"Simvastatin ""Cross Pharma""","Simvastatin ""Cross Pharma""",filmovertrukne tabletter,20 mg,84 stk. (blister),28101869197,"20,000",MG,"84,000"
991,Fem-Mono Retard,Five-Mono Retard,depottabletter,60 mg,100 stk.,28103067699,"60,000",MG,"100,000"
992,Pylorid,Pylorid,filmovertrukne tabletter,400 mg,56 stk. (blister),28101763295,"400,000",MG,"56,000"
994,diTeBooster,diTeBooster,"injektionsvÃ¦ske, suspension, hÃ¦tteglas",,"5 htgl. a 0,5 ml",28101482791,,,"2,500"
1004,Fragmin,Fragmin,"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",12.500 anti-Xa IE/ml,"25 x 0,2 ml",28101295187,"12,500,000",XAM,"1,000"
1008,Sirdalud,Sirdalud,tabletter,2 mg,100 stk.,28101124183,"2,000",MG,"100,000"
1009,Burinex,Burinex,"injektionsvÃ¦ske, oplÃ¸sning","0,5 mg/ml",5 amp. x 4 ml,28101212185,0.500,MGM,"20,000"
1012,Jectofer,Jectofer,injektionsvÃ¦ske,50 mg/ml,10 x 2 ml,28100370261,"50,000",MGM,"20,000"
1018,PegIntron,PegIntron,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning","50 mikrogram/0,5 ml",4 htgl.+4 amp.+4 injektionssÃ¦t,28103079999,"100,000",RGM,"4,000"
1019,Zestoretic,Zestoretic,tabletter,,42 stk. (blister),28103029698,,,"42,000"
1024,Sirdalud,Sirdalud,tabletter,4 mg,30 stk.,28101124283,"4,000",MG,"30,000"
1025,Selo-zok,Selo-zok,depottabletter,25 mg,28 stk. (blister),28103132300,"25,000",MG,"28,000"
1029,Fragmin,Fragmin,"injektionsvÃ¦ske, oplÃ¸sning, fyldt injektionssprÃ¸jte",25.000 anti-Xa IE/ml,"25 x 0,2 ml",28101295287,"25,000,000",XAM,"1,000"
1031,Zestoretic,Zestoretic,tabletter,,98 stk. (blister),28103029698,,,"98,000"
1035,"Isosorbidmononitrat ""Cross Pharma""","Isosorbide mononitrate ""Cross Pharma""",depottabletter (duretter),60 mg,98 stk.,28103019198,"60,000",MG,"98,000"
1039,PegIntron,PegIntron,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning","100 mikrogram/0,5 ml",4 htgl.+4 amp.+4 injektionssÃ¦t,28103080199,"200,000",RGM,"4,000"
1043,PegIntron,PegIntron,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning","150 mikrogram/0,5 ml",4 htgl.+4 amp.+4 injektionssÃ¦t,28103080399,"300,000",RGM,"4,000"
1068,Sinemet Depot Mite,Sinemet Depot Mite,depottabletter,100+25 mg,100 stk. (blister),28103145400,,,"100,000"
1071,Rabdomun Vet.,Rabdomun Vet.,"injektionsvÃ¦ske, suspension",,10 x 1 ml,28101055180,,,"10,000"
1105,Finadyne Vet.,Fina Dyne Vet.,"granulat, enkeltdosisbeholder",250 mg,1/10 af: 10 x 10 g,28103063099,"250,000",MG,"10,000"
1115,Sirdalud,Sirdalud,tabletter,4 mg,100 stk.,28101124283,"4,000",MG,"100,000"
1123,Klacid,Klacid,filmovertrukne tabletter,250 mg,100 stk.,28101394190,"250,000",MG,"100,000"
1131,Klacid,Klacid,filmovertrukne tabletter,500 mg,42 stk. (blister),28101552793,"500,000",MG,"42,000"
1156,Duphacyclin Prolongatum Vet.,Duphacyclin Prolongatum Vet.,injektionsvÃ¦ske,200 mg/ml,12 x 100 ml,28101128483,"200,000",MGM,"1,200,000"
1163,Brufen,Brufen,oral suspension,20 mg/ml,200 ml,28101080081,"20,000",MGM,"200,000"
1167,Orgalutran,Orgalutran,"injektionsvÃ¦ske, oplÃ¸sning","0,25 mg/0,5 ml",1 stk.,28103039498,0.500,MGM,"1,000"
1172,Pirom,Pirom,"kapsler, hÃ¥rde",20 mg,10 stk.,28101305087,"20,000",MG,"10,000"
1191,Apydan,Trileptal,tabletter,300 mg,100 stk.,28101866396,"300,000",MG,"100,000"
1194,Celebra,Celebra,"kapsler, hÃ¥rde",200 mg,10 stk. (blister),28103127099,"200,000",MG,"10,000"
1196,Vioxx,Vioxx,tabletter,25 mg,30 stk.,28103096099,"25,000",MG,"30,000"
1199,"Clozapine ""Actavis""","Clozapine ""Actavis""",tabletter,25 mg,100 stk. (blister),28101939997,"25,000",MG,"100,000"
1206,Imdur,Imdur,depottabletter (duretter),60 mg,100 stk.,28101521192,"60,000",MG,"100,000"
1212,Banminth Vet.,Banminth Vet.,oral pasta,"21,7 mg/g (hund/rÃ¦v)",25 tuber a 10 g,28100669272,"21,700",MGG,"250,000"
1213,Teveten,Teveten,filmovertrukne tabletter,600 mg,28 stk. (blister),28103106799,"600,000",MG,"28,000"
1217,Acepril,Acepril,tabletter,5 mg,30 stk. (blister),28103023698,"5,000",MG,"30,000"
1222,Fortum,Fortum,infusionssubstans,1 g,5 x 1 g monovial,28101747795,"1,000",G,"5,000"
1225,Zarator,Zarator,filmovertrukne tabletter,80 mg,30 stk. (blister),28103295501,"80,000",MG,"30,000"
1229,Banminth Vet.,Banminth Vet.,oral pasta,"21,7 mg/g (hund/rÃ¦v)",1/25 af: 25 tuber a 10 g,28100669272,"21,700",MGG,"10,000"
1230,Nitam,Nitam,tabletter,5 mg,50 stk. (blister),28101551893,"5,000",MG,"50,000"
1234,Acepril,Acepril,tabletter,5 mg,100 stk. (blister),28103023698,"5,000",MG,"100,000"
1235,Banminth Vet.,Banminth Vet.,oral pasta,"21,7 mg/g (hund/rÃ¦v)",25 sprÃ¸jter a 16 g,28100669272,"21,700",MGG,"400,000"
1239,Zarator,Zarator,filmovertrukne tabletter,80 mg,100 stk. (blister),28103295501,"80,000",MG,"100,000"
1240,Acepril,Acepril,tabletter,10 mg,30 stk. (blister),28103023798,"10,000",MG,"30,000"
1246,Banminth Vet.,Banminth Vet.,oral pasta,"21,7 mg/g (hund/rÃ¦v)",1/25 af: 25 sprÃ¸jter a 16 g,28100669272,"21,700",MGG,"16,000"
1256,Acepril,Acepril,tabletter,10 mg,100 stk. (blister),28103023798,"10,000",MG,"100,000"
1257,Banminth Vet.,Banminth Vet.,oral pasta,"21,7 mg/g (hund/rÃ¦v)",25 tuber a 24 g,28100669272,"21,700",MGG,"600,000"
1263,Rigidur Duo,Rigidur Duo,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning",10 mikrogram,2 stk.,28101912297,"10,000",RG,"2,000"
1267,Acepril,Acepril,tabletter,20 mg,30 stk. (blister),28103023898,"20,000",MG,"30,000"
1268,Banminth Vet.,Banminth Vet.,oral pasta,"21,7 mg/g (hund/rÃ¦v)",1/25 af: 25 tuber a 24 g,28100669272,"21,700",MGG,"24,000"
1271,Rigidur Duo,Rigidur Duo,"pulver og solvens til injektionsvÃ¦ske, oplÃ¸sning",20 mikrogram,2 stk.,28101912397,"20,000",RG,"2,000"
1273,Acepril,Acepril,tabletter,20 mg,100 stk. (blister),28103023898,"20,000",MG,"100,000"
1279,Banminth Vet.,Banminth Vet.,oral pasta,"115,3 mg/g (kat)",25 sprÃ¸jter a 2 g,28101140883,"115,300",MGG,"50,000"
1289,Fortum,Fortum,infusionssubstans,2 g,5 x 2 g (monovial),28101747895,"2,000",G,"5,000"
1290,Banminth Vet.,Banminth Vet.,oral pasta,"115,3 mg/g (kat)",1/25 af: 25 sprÃ¸jter a 2 g,28101140883,"115,300",MGG,"2,000"
1295,Lasix,Lasix,tabletter,40 mg,100 stk. (blister),28100439863,"40,000",MG,"100,000"
1296,Niferex,Niferex,"enterokapsler, hÃ¥rde",100 mg,50 stk. (blister),28103322401,"100,000",MG,"50,000"
1301,Banminth Vet.,Banminth Vet.,oral pasta,"115,3 mg/g (kat)",25 sprÃ¸jter a 3 g,28101140883,"115,300",MGG,"75,000"
1304,Apydan,Trileptal,tabletter,600 mg,100 stk.,28101866496,"600,000",MG,"100,000"
1312,Banminth Vet.,Banminth Vet.,oral pasta,"115,3 mg/g (kat)",1/25 af: 25 sprÃ¸jter a 3 g,28101140883,"115,300",MGG,"3,000"
1314,Avirox,Avirox,creme,50 mg/g,3 g,28103138700,"50,000",MGG,"3,000"
1316,Imozop,Imozop,filmovertrukne tabletter,"3,75 mg",10 stk. (blister),28103040998,"3,750",MG,"10,000"
1317,Xenetix,Xenetix,"injektionsvÃ¦ske, oplÃ¸sning",300 mg iod/ml,2 x 25 x 50 ml,28101834296,"300,000",MJM,"2,500,000"
1318,Vioxx,Vioxx,tabletter,25 mg,100 stk.,28103096099,"25,000",MG,"100,000"
1321,Uniderm,Uniderm,creme,1%,20 g,28101024979,"1,000",PC,"20,000"
1324,Teveten,Teveten,filmovertrukne tabletter,600 mg,98 stk. (blister),28103106799,"600,000",MG,"98,000"
1326,Avirox,Avirox,creme,50 mg/g,12 g,28103138700,"50,000",MGG,"12,000"
1329,Vioxx,Vioxx,tabletter,"12,5 mg",30 stk.,28103095999,"12,500",MG,"30,000"
1331,Xenetix,Xenetix,"injektionsvÃ¦ske, oplÃ¸sning",300 mg iod/ml,1/50 af: 2 x 25 x 50 ml,28101834296,"300,000",MJM,"50,000"
1337,Gadovist,Gadovist,"injektionsvÃ¦ske, oplÃ¸sning",1 mmol/ml,10 x 30 ml,28103144900,"1,000",MOM,"300,000"
1338,Precosa,Precisa,"kapsler, hÃ¥rde",250 mg,50 stk.,28101695894,"250,000",MG,"50,000"
1339,Uniderm,Uniderm,creme,1%,50 g,28101024979,"1,000",PC,"50,000"
1340,Vioxx,Vioxx,tabletter,"12,5 mg",100 stk.,28103095999,"12,500",MG,"100,000"
1342,Xenetix,Xenetix,"injektionsvÃ¦ske, oplÃ¸sning",300 mg iod/ml,2 x 10 x 100 ml,28101834296,"300,000",MJM,"2,000,000"
1344,Imozop,Imozop,filmovertrukne tabletter,"3,75 mg",30 stk. (blister),28103040998,"3,750",MG,"30,000"
1346,Teveten,Teveten,filmovertrukne tabletter,400 mg,56 stk. (blister),28101888797,"400,000",MG,"56,000"
1347,Uniderm,Uniderm,creme,1%,100 g,28101024979,"1,000",PC,"100,000"
1350,Imozop,Imozop,filmovertrukne tabletter,"3,75 mg",100 stk. (blister),28103040998,"3,750",MG,"100,000"
1351,Xenetix,Xenetix,"injektionsvÃ¦ske, oplÃ¸sning",300 mg iod/ml,1/2 af: 2 x 10 x 100 ml,28101834296,"300,000",MJM,"1,000,000"
1354,Uniderm,Uniderm,salve,1%,20 g,28101025079,"1,000",PC,"20,000"
1362,Spersadex Comp.,Spersadex Comp.,"Ã¸jendrÃ¥ber, oplÃ¸sning",1+5 mg/ml,5 ml,28103736904,,,"5,000"
1388,Baycaron,Baycaron,tabletter,25 mg (Paranova),150 stk.,28101559693,"25,000",MG,"150,000"
1394,Nexium,Nexium,enterotabletter,20 mg,14 stk. (blister),28103148900,"20,000",MG,"14,000"
1399,Orgalutran,Orgalutran,"injektionsvÃ¦ske, oplÃ¸sning","0,25 mg/0,5 ml",5 stk.,28103039498,0.500,MGM,"5,000"
1408,Nexium,Nexium,enterotabletter,20 mg,28 stk. (blister),28103148900,"20,000",MG,"28,000"
1412,Penetrase,Penetrase,injektionssubstans,1.000 I.E.,5 htgl. + solvens,28100074455,"1,000,000",IU,"5,000"
1417,Nexium,Nexium,enterotabletter,20 mg,56 stk. (blister),28103148900,"20,000",MG,"56,000"
1420,Nitam,Nitam,tabletter,5 mg,100 stk. (blister),28101551893,"5,000",MG,"100,000"
1446,Uniderm,Uniderm,salve,1%,50 g,28101025079,"1,000",PC,"50,000"
1450,Nexium,Nexium,enterotabletter,40 mg,14 stk. (blister),28103149000,"40,000",MG,"14,000"
1452,Metocar,Metocar,tabletter,50 mg,30 stk. (blister),28101535292,"50,000",MG,"30,000"
1453,Alapren,Alapren,injektionsvÃ¦ske,1 mg/ml,10 x 5 ml,28101233985,"1,000",MGM,"50,000"
1456,Ripercol Pour-on Vet.,Ripercol Pour-on Vet.,"pour-on, oplÃ¸sning",200 mg/ml,2200 ml,28101314087,"200,000",MGM,"2,200,000"
1462,Brentan,Daktarin,creme,2%,30 g,28103135899,"2,000",PC,"30,000"
1463,Nexium,Nexium,enterotabletter,40 mg,28 stk. (blister),28103149000,"40,000",MG,"28,000"
1464,Cosopt,Cosopt,Ã¸jendrÃ¥ber,5 + 20 mg/ml,5 ml,,,,
1467,Decaris Pour-on Vet.,Decaris Pour-on Vet.,"pour-on, oplÃ¸sning",200 mg/ml,2200 ml,28101268386,"200,000",MGM,"2,200,000"
1473,Compleven,Compleven,"infusionsvÃ¦ske, emulsion",,2500 ml (tre-kammer poser),28103088999,,,"2,500,000"
1474,Miniderm,Miniderm,creme,20%,500 g,28103882805,"20,000",PC,"500,000"
1488,Miniderm,Miniderm,creme,20%,100 g,28103882805,"20,000",PC,"100,000"
1490,NovoMix 30 Penfill,NovoMix 30 Penfill,"injektionsvÃ¦ske, suspension",100 E/ml,5 x 3 ml,28103061999,"100,000",UML,"15,000"
1503,Zinacef,Zinacef,"pulver til infusionsvÃ¦ske, oplÃ¸sning",750 mg,5 x 750 mg monovial,28101705394,"750,000",MG,"5,000"
1505,Nexium,Nexium,enterotabletter,40 mg,56 stk. (blister),28103149000,"40,000",MG,"56,000"
1511,Serenase Dekanoat,Haldol decanoate,"injektionsvÃ¦ske, oplÃ¸sning",100 mg/ml,5 amp. a 1 ml,28101092381,"100,000",MGM,"5,000"
1512,Trental,Trental,depottabletter,400 mg,100 stk. (blister),28103168300,"400,000",MG,"100,000"
1513,Biocom-P Vet.,Biocom-P Vet.,"injektionsvÃ¦ske, suspension",,250 doser (250 ml),28101856196,,,"250,000"
1527,Nexium,Nexium,enterotabletter,20 mg,100 stk.,28103148900,"20,000",MG,"100,000"
1537,Flucat Vet.,Flucat Vet.,injektionssubstans + injektionsvÃ¦ske (vaccine),,1 dosis,28101039780,,,"1,000"
1545,Zomig,Zomig,filmovertrukne tabletter,"2,5 mg",3 stk. (blister),28103115499,"2,500",MG,"3,000"
1549,Nexium,Nexium,enterotabletter,40 mg,100 stk.,28103149000,"40,000",MG,"100,000"
1552,Acinil,Acinil,tyggetabletter,200 MG,12 stk.,28101383689,"200,000",MG,"12,000"
1560,Clamoxyl Vet.,Clamoxyl Vet.,pulver til oral oplÃ¸sning,51%,4 x 4 x 1000 g,28101502792,"51,000",PC,"16,000,000"
1588,Kabiven,Kabiven,"infusionsvÃ¦ske, emulsion",,4 x 1026 ml (4 x 900 kcal),28103088399,,,"4,104,000"
1592,Almogran,Almogran,filmovertrukne tabletter,"12,5 mg",3 stk. (blister),28103149300,"12,500",MG,"3,000"
1593,Terramycin Vet.,Terramycin Vet.,"uteritorier, tabletter",500 mg,1/10 af: 10 x 1 stk.,28100532167,"500,000",MG,"1,000"
1595,Vasotop Vet.,Vasotop Vet.,tabletter,"1,25 mg",2 x 14 stk. (blister),28103077099,"1,250",MG,"28,000"
1599,Venofer,Venofer,"injektionsvÃ¦ske/konc. til infusionsvÃ¦ske, oplÃ¸sning",20 mg/ml,5 x 5 ml,28103111199,"20,000",MGM,"25,000"
1602,Zinacef,Zinacef,"pulver til infusionsvÃ¦ske, oplÃ¸sning","1,5 g","5 x 1,5 g monovial",28101053180,"1,500",G,"5,000"
1605,Kabiven,Kabiven,"infusionsvÃ¦ske, emulsion",,4 x 1540 ml (4 x 1400 kcal),28103088399,,,"6,160,000"
1606,Almogran,Almogran,filmovertrukne tabletter,"12,5 mg",6 stk. (blister),28103149300,"12,500",MG,"6,000"
1609,Vasotop Vet.,Vasotop Vet.,tabletter,"2,5 mg",2 x 14 stk. (blister),28103077199,"2,500",MG,"28,000"
1610,Pronoctan,Pronoctan,tabletter,1 mg,1000 stk. (10x100) i glas,28101032579,"1,000",MG,"1,000,000"
1611,Kabiven,Kabiven,"infusionsvÃ¦ske, emulsion",,2 x 2053 ml (2 x 1900 kcal),28103088399,,,"4,106,000"
1620,Vasotop Vet.,Vasotop Vet.,tabletter,5 mg,2 x 14 stk. (blister),28103077299,"5,000",MG,"28,000"
1622,Kabiven,Kabiven,"infusionsvÃ¦ske, emulsion",,2 x 2566 ml (2 x 2300 kcal),28103088399,,,"5,132,000"
1623,"Klorhexidin ""Galderma""","Chlorhexidine ""Galderma""",oplÃ¸sning til desinfektion,0.20%,250 ml,28100826479,0.200,PC,"250,000"
1628,Temgesic,Temgesic,"resoribletter, sublinguale","0,4 mg",50 stk.,28101362889,0.400,MG,"50,000"
1631,Vasotop Vet.,Vasotop Vet.,tabletter,"1,25 mg",10 x 14 stk. (blister),28103077099,"1,250",MG,"140,000"
1636,Fortum,Fortum,"pulver til injektionsvÃ¦ske, oplÃ¸sning",1 g,5 x 1 g monovial,28101144883,"1,000",G,"5,000"
1640,Vasotop Vet.,Vasotop Vet.,tabletter,"2,5 mg",10 x 14 stk. (blister),28103077199,"2,500",MG,"140,000"
1651,Fortum,Fortum,"pulver til injektionsvÃ¦ske, oplÃ¸sning",2 g,5 x 2 g monovial,28101144983,"2,000",G,"5,000"
1653,Vasotop Vet.,Vasotop Vet.,tabletter,5 mg,10 x 14 stk. (blister),28103077299,"5,000",MG,"140,000"
1682,Pankreon Forte,Pankreon Forte,"enterokapsler, hÃ¥rde",,100 stk. (blister),28103141800,,,"100,000"
1684,Metocar,Metocar,tabletter,50 mg,100 stk. (blister),28101535292,"50,000",MG,"100,000"
1693,Albuminativ,Albuminativ,"infusionsvÃ¦ske, oplÃ¸sning",200 mg/ml,100 ml,28103572203,"200,000",MGM,"100,000"
1695,Metocar,Metocar,tabletter,100 mg,30 stk. (blister),28101535392,"100,000",MG,"30,000"
1696,Paracox-5 Vet.,Paracox-5.,koncentrat til oral suspension til anvendelse i foder,,5 x 1000 doser,28103124999,,,"5,000,000"
1706,Metocar,Metocar,tabletter,100 mg,100 stk. (blister),28101535392,"100,000",MG,"100,000"
1715,Totelle Sekvens,Totelle Sequence,overtrukne tabletter,,3 x 28 stk. (blister),28103189500,,,"84,000"
1737,Seroxat,Seroxat,filmovertrukne tabletter,20 mg,24 stk. (blister),28101814496,"20,000",MG,"24,000"
1743,Tylan Vet.,Tylan Vet.,"injektionsvÃ¦ske, oplÃ¸sning",200 mg/ml,4 x 10 htgl. a 100 ml,28100438963,"200,000",MGM,"4,000,000"
1747,Livostin,Livostin,"Ã¸jendrÃ¥ber, suspension","0,5 mg/ml",3 ml,28101894297,0.500,MGM,"3,000"
1755,Rilexine Vet.,Rilexine Vet.,intramammÃ¦r suspension,20 mg/ml,12 x 10 ml,28101905497,"20,000",MGM,"120,000"
1762,Paracox-5 Vet.,Paracox-5.,koncentrat til oral suspension til anvendelse i foder,,5 x 5000 doser,28103124999,,,"25,000,000"
1784,Pronoctan,Pronoctan,tabletter,"0,5 mg",1000 stk. (10x100),28101032479,0.500,MG,"1,000,000"
1786,Xalatan,Xalatan,"Ã¸jendrÃ¥ber, oplÃ¸sning",50 mikg/ml,"2,5 ml",28103139800,"50,000",RGM,"2,500"
1788,Mycostatin,Mycostatin,oral suspension,100.000 IE/ml,100 ml,28101740094,"100,000,000",IUM,"100,000"
1789,Xatral,Xatral,depottabletter,5 mg,56 stk. (blister),28103053698,"5,000",MG,"56,000"
1791,Rivotril,Klonopin,tabletter,2 mg,100 stk. (blister),28101733894,"2,000",MG,"100,000"
1797,"Flutamid ""Orifarm""","Flutamide ""Orifarm""",tabletter,250 mg,84 stk. (blister),28103140000,"250,000",MG,"84,000"
1799,"Gabapentin ""Orifarm""","Gabapentin ""Orifarm""","kapsler, hÃ¥rde",400 mg,100 stk. (blister),28103140100,"400,000",MG,"100,000"
1813,"balance 1,5% glucose, 1,75 mmol/l calcium","Balance 1.5% glucose, 1.75 mmol / l calcium","peritonealdialysevÃ¦ske, to-kammer system",,4 x 2000 ml stay safe balance,28103049998,,,"8,000,000"
1814,Plendil,Plendil,depottabletter,5 mg,90 stk. (blister),28101736494,"5,000",MG,"90,000"
1815,Diclodan,Diclodan,suppositorier,50 mg,10 stk. (blister),28101567393,"50,000",MG,"10,000"
1817,Virbalan Vet.,Virbalan Vet.,oral pasta,"18,7 mg/g","1 x 7,49 g (applikatorer)",28103028198,"18,700",MGG,"7,490"
1825,Buspar,Buspar,tabletter,10 mg,20 stk. (blister),28103121599,"10,000",MG,"20,000"
1827,Androcur,Androcur,tabletter,50 mg,45 stk. (blister),28103093199,"50,000",MG,"45,000"
1830,Insulatard InnoLet,Insulatard InnoLet,"injektionsvÃ¦ske, suspension",100 IE/ml,5 x 3 ml,28103111499,"100,000",IUM,"15,000"
1832,Mixtard 30/70 InnoLet,Mixtard 30/70 InnoLet,"injektionsvÃ¦ske, suspension",100 IE/ml,5 x 3 ml,28103111799,"100,000",IUM,"15,000"
1843,Kezoral,Kezoral,shampoo,2% (20 mg/g),60 ml,28103142600,"2,000",PC,"60,000"
1853,Triatec,Triatec,tabletter,5 mg,100 stk. (blister),28101814196,"5,000",MG,"100,000"
1859,"Humant Normalt Immunglobulin ""SSI""","Human Normal Immunoglobulin ""SSI""","injektionsvÃ¦ske, oplÃ¸sning",160 mg/ml,5 x 5 ml,28100836380,"160,000",MGM,"25,000"
1869,Rilexine Vet.,Rilexine Vet.,intramammÃ¦r suspension,20 mg/ml,150 x 10 ml,28101905497,"20,000",MGM,"1,500,000"
1872,Ingelvac DART Vet.,Ingelvac DART Vet.,"injektionsvÃ¦ske, suspension",,1 x 20 ml,28101865596,,,"20,000"
1874,Methergin,Methergin,"injektionsvÃ¦ske, oplÃ¸sning","0,2 mg/ml",10 amp. a 1 ml,28101002855,0.200,MGM,"10,000"
1878,Azopt,Azopt,"Ã¸jendrÃ¥ber, suspension",10 mg/ml,3 x 5 ml,28103026698,"10,000",MGM,"15,000"
1883,"Humant Normalt Immunglobulin ""SSI""","Human Normal Immunoglobulin ""SSI""","injektionsvÃ¦ske, oplÃ¸sning",160 mg/ml,2 ml,28100836380,"160,000",MGM,"2,000"
1895,Voluven,Voluven,"infusionsvÃ¦ske, oplÃ¸sning",60 mg/ml,15 x 500 ml,28103134200,"60,000",MGM,"7,500,000"
1902,"balance 2,3% glucose, 1,75 mmol/l calcium","Balance 2.3% glucose, 1.75 mmol / l calcium","peritonealdialysevÃ¦ske, to-kammer system",,4 x 2000 ml stay safe balance,28103050098,,,"8,000,000"
1905,Lamictal,Lamictal,dispergible tabletter,2 mg,30 stk.,28103146400,"2,000",MG,"30,000"
1906,Voluven,Voluven,"infusionsvÃ¦ske, oplÃ¸sning",60 mg/ml,15 x 500 ml,28103134200,"60,000",MGM,"7,500,000"
1908,Xalatan,Xalatan,"Ã¸jendrÃ¥ber, oplÃ¸sning",50 mikg/ml,"3 x 2,5 ml",28103139800,"50,000",RGM,"7,500"
1913,"balance 4,25% glucose, 1,75 mmol/l calcium","balance 4.25% glucose, 1.75 mmol / l calcium","peritonealdialysevÃ¦ske, to-kammer system",,4 x 2000 ml stay safe balance,28103050198,,,"8,000,000"
1914,Artrotec,Artrotec,tabletter,"50 + 0,2 mg",20 stk. (blister),28103144800,,,"20,000"
1916,NuTRIflex Lipid peri,NuTRIflex Lipid peri,"infusionsvÃ¦ske, emulsion",,5 x 1250 ml,28103091299,,,"6,250,000"
1917,Rocilin,Rocilin,kapsler,800.000 I.E.,15 stk.,28100901576,"800,000,000",IU,"15,000"
1918,NuTRIflex Lipid plus,NuTRIflex Lipid plus,"infusionsvÃ¦ske, emulsion",,5 x 1250 ml,28103091399,,,"6,250,000"
1920,NuTRIflex Lipid special,NuTRIflex Lipid special,"infusionsvÃ¦ske, emulsion",,5 x 1250 ml,28103091499,,,"6,250,000"
1925,Rocilin,Rocilin,kapsler,800.000 I.E.,20 stk.,28100901576,"800,000,000",IU,"20,000"
1926,Diclodan,Diclodan,suppositorier,50 mg,50 stk. (blister),28101567393,"50,000",MG,"50,000"
1933,Rocilin,Rocilin,kapsler,800.000 I.E.,30 stk.,28100901576,"800,000,000",IU,"30,000"
